País,Total_Casos,Fallecidos,Población,Tasa de mortalidad por millón de habitantes,Tasa de letalidad por cien habitantes
Afganistán,42159,1562,38928000,40.12535963830661,3.7050214663535663
Albania,23705,557,2878000,193.53717859624737,2.3497152499472684
Argelia,60169,2011,43851000,45.85984356115026,3.3422526550216887
Samoa Americana,0,0,55000,0.0,
Andorra,5319,75,77000,974.025974025974,1.410039481105471
Angola,12335,303,32866000,9.219253940242195,2.4564248074584514
Anguila,3,0,15000,0.0,0.0
Antigua y Barbuda,131,3,98000,30.612244897959183,2.2900763358778624
Argentina,1236851,33348,45196000,737.8529073369325,2.6962018868885584
Armenia,106424,1559,2963000,526.1559230509619,1.4648951364353906
Aruba,4564,39,107000,364.4859813084112,0.8545135845749343
Australia,27658,907,25500000,35.56862745098039,3.279340516306313
Austria,146502,1318,9006000,146.34687985787255,0.8996464212092667
Azerbaiyán,63748,824,10139000,81.27034224282474,1.2925895714375353
Bahamas,6947,152,393000,386.7684478371501,2.1879948179070103
Bangladesh,420238,6067,164689000,36.83913315400543,1.4437057096216905
Barbados,243,7,287000,24.390243902439025,2.880658436213992
Bielorrusia,105283,1004,9449000,106.25463011958938,0.9536202425842728
Bélgica,494073,12907,11590000,1113.6324417601381,2.6123669983990223
Belice,4076,68,398000,170.85427135678393,1.6683022571148183
Benin,2745,43,12123000,3.5469768209189145,1.5664845173041893
islas Bermudas,209,9,62000,145.16129032258064,4.30622009569378
Bután,359,0,772000,0.0,0.0
Bolivia (Estado Plurinacional de),142427,8790,11673000,753.0197892572603,6.171582635314933
Bosnia y Herzegovina,59428,1457,3281000,444.0719292898507,2.4517062664064078
Brasil,5653561,162269,212559000,763.4068658584205,2.8702087056281873
Islas Vírgenes Británicas,72,1,30000,33.333333333333336,1.3888888888888888
Brunei Darussalam,148,3,437000,6.864988558352403,2.027027027027027
Bulgaria,74485,1632,6948000,234.88773747841105,2.191045176881251
Burkina Faso,2565,67,20903000,3.2052815385351385,2.612085769980507
Burundi,614,1,11891000,0.08409721638213775,0.16286644951140067
Cabo Verde,9291,100,556000,179.85611510791367,1.0763104079216446
Camboya,297,0,16719000,0.0,0.0
Camerún,22342,429,26546000,16.16062683643487,1.920150389401128
Canadá,260055,10490,37742000,277.93969582957976,4.03376208878891
Islas Caimán,250,1,66000,15.15151515151515,0.4
República Centroafricana,4879,62,4830000,12.836438923395445,1.2707522033203527
Chad,1543,99,16426000,6.0270303177888715,6.416072585871678
Chile,521558,14543,19116000,760.7763130362,2.7883763646612647
China,92242,4748,1439324000,3.298770811853342,5.147329849743067
Colombia,1136447,32595,50883000,640.5872295265609,2.868149592545891
Comoras,557,7,870000,8.045977011494253,1.2567324955116697
Congo,5379,92,5518000,16.672707502718378,1.7103550845882134
Islas Cook,0,0,18000,0.0,
Costa Rica,116363,1464,5094000,287.396937573616,1.258131880408721
Croacia,64704,752,4105000,183.19123020706456,1.162215628090999
Cuba,7297,130,11327000,11.477001853977223,1.7815540633136906
Curazao,1030,2,164000,12.195121951219512,0.1941747572815534
Chipre,5871,28,1207000,23.1980115990058,0.47692045648100834
Chequia,411220,4681,10709000,437.1089737603885,1.1383201206167015
República Democrática del Congo,11516,315,89561000,3.5171559049139693,2.7353247655435915
Dinamarca,54230,740,5792000,127.7624309392265,1.364558362529965
Djibouti,5608,61,988000,61.740890688259114,1.087731811697575
Dominica,63,0,72000,0.0,0.0
República Dominicana,130182,2265,10848000,208.79424778761063,1.73987187168733
Ecuador,174907,12830,17643000,727.2005894689112,7.335326773656857
Egipto,109201,6368,102334000,62.227607637735254,5.8314484299594325
El Salvador,35145,1010,6486000,155.7200123342584,2.8738085076113244
Guinea Ecuatorial,5092,85,1403000,60.58446186742694,1.6692851531814612
Eritrea,491,0,3546000,0.0,0.0
Estonia,5933,73,1327000,55.01130369253956,1.2304062025956515
Eswatini,5989,117,1160000,100.86206896551724,1.9535815662047085
Etiopía,99204,1518,114964000,13.204133467868203,1.530180234667957
Islas Faroe,495,0,49000,0.0,0.0
Fiyi,34,2,896000,2.232142857142857,5.88235294117647
Finlandia,17385,362,5541000,65.33116765926728,2.082254817371297
Francia,1714361,39849,65274000,610.4880963323835,2.3244229190934695
Guayana Francesa,10704,70,299000,234.11371237458195,0.6539611360239163
Polinesia francés,9995,39,281000,138.7900355871886,0.3901950975487744
Gabón,9022,55,2226000,24.707996406109615,0.6096209266238084
Gambia,3681,120,2417000,49.648324369052546,3.2599837000814995
Georgia,57753,475,3989000,119.07746302331412,0.8224680968953993
Alemania,658505,11289,83784000,134.7393297049556,1.714337780275017
Ghana,48788,320,31073000,10.298329739645352,0.6558989915553005
Gibraltar,770,0,34000,0.0,0.0
Grecia,54809,749,10423000,71.86030893216925,1.3665638854932585
Groenlandia,17,0,57000,0.0,0.0
Granada,30,0,113000,0.0,0.0
Guadalupe,7903,133,400000,332.5,1.6829052258635961
Guam,5154,90,169000,532.5443786982248,1.7462165308498252
Guatemala,111262,3821,17916000,213.2730520205403,3.434236307094965
Guinea,12400,73,13133000,5.558516713622173,0.5887096774193549
Guinea-Bissau,2413,41,1968000,20.833333333333332,1.699129714048902
Guayana,4484,134,787000,170.26683608640408,2.9884032114183765
Haití,9127,232,11403000,20.345523107954048,2.5419086227676124
Santa Sede,26,0,1000,0.0,0.0
Honduras,100041,2745,9905000,277.1327612317012,2.7438750112453896
Hungría,109616,2438,9660000,252.38095238095238,2.2241278645453217
Islandia,5063,18,341000,52.785923753665685,0.35552044242543945
India,8553657,126611,1380004000,91.7468355164188,1.4801973004061304
Indonesia,437716,14614,273524000,53.42858396338164,3.338694495974559
Irán (República Islámica de),682486,38291,83993000,455.88322836426846,5.610518017952017
Irak,498549,11327,40223000,281.6050518360142,2.2719933246280704
Irlanda,64855,1945,4938000,393.8841636289996,2.9989977642433123
Isla del hombre,357,24,85000,282.35294117647055,6.722689075630252
Israel,318077,2641,8656000,305.10628465804064,0.830302096662129
Italia,902490,41063,60462000,679.153848698356,4.549967312657204
Jamaica,9506,221,2961000,74.6369469773725,2.3248474647590998
Japón,108084,1818,126476000,14.374268635946741,1.6820250915954258
Jordán,109321,1233,10203000,120.84680976183475,1.1278711318045023
