,Causas de defunción,edad 0 a 4,edad 5 a 14,edad 15 a 44,edad 45 a 64,edad 65 a 84,edad 85 a 99,edad 100 o más,Total
0,"201 Tumor maligno del estómago202 Tumor maligno del colon y de la unión rectosigmoidea203 Tumor maligno de los órganos digestivos y del peritoneo excepto estómago y colon204 Tumor maligno de la tráquea, los bronquios y el pulmón205 Tumor maligno de los órganos respiratorios e intratorácicos, excepto tráquea, bronquios y pulmón206 Tumor maligno de la mama de la mujer207 Tumor maligno del cuello del útero208 Tumor maligno del cuerpo del útero209 Tumor maligno del útero, parte no especificada210 Tumor maligno de la próstata211 Tumor maligno de otros órganos genitourinarios213 Tumor maligno del tejido linfático, de otros órganos hematopoyéticos y de tejidos afines214 Tumores malignos de otras localizaciones y de las no especificadas215 Tumores in situ, beningnos y los de comportamiento incierto o desconocido",0,1,27,90,173,38,0,329
24,303 Enfermedades isquémicas del corazón,0,0,4,38,142,90,4,278
47,605 Enfermedades crónicas de las vías respiratorias inferiores,0,0,1,13,73,61,1,149
27,307 Enfermedades cerebrovasculares,1,0,3,11,43,29,0,87
54,614 Resto de las enfermedades,1,0,4,11,25,17,2,60
6,108 Infecciones respiratorias agudas,1,0,1,7,23,21,4,57
52,610 Enfermedades del sistema urinario,0,0,2,5,25,19,0,51
51,609 Resto de enfermedades del sistema digestivo,1,0,2,10,20,13,0,46
25,"304 Enfermedad cardiopulmonar, enfermedades de la circulación pulmonar y otras formas de enfermedad del corazón",0,1,5,3,20,11,0,40
23,302 Enfermedades hipertensivas,0,0,0,1,21,17,1,40
46,"604 Enfermedades del sistema nervioso, excepto meningitis",0,1,4,8,13,12,0,38
41,512 Agresiones (homicidios),0,0,27,2,3,0,0,32
43,601 Diabetes mellitus,0,0,2,7,13,8,0,30
34,501 Accidentes de transporte terrestre,0,0,15,8,3,2,0,28
48,606 Resto de enfermedades del sistema respiratorio,2,0,0,5,8,7,0,22
45,603 Trastornos mentales y del comportamiento,0,0,1,1,4,9,0,15
40,511 Lesiones autoinfligidas intencionalmente (suicidios),0,1,11,1,1,0,0,14
26,306 Insuficiencia cardíaca,0,0,1,3,6,3,0,13
50,608 Cirrosis y ciertas otras enfermedades cróncas del hígado,0,0,1,2,8,2,0,13
19,212 Leucemia,0,1,5,3,3,0,0,12
39,"510 Otros accidentes, inclusive secuelas",0,0,4,3,3,2,0,12
53,"613 Malformaciones congénitas, deformidades y anomalías cromosómicas",8,0,0,1,2,0,0,11
2,102 Tuberculosis,1,0,3,1,4,0,0,9
49,"607 Apendicitis, hernia de la cavidad abdominal y obstrucción intestinal",1,0,1,1,3,2,0,8
1,101 Enfermedades infecciosas intestinales,0,0,0,3,3,2,0,8
28,309 Las demás enfermedades del sistema circulatorio,0,0,0,3,3,2,0,8
5,107 Enfermedad por el VIH (SIDA),0,0,1,4,2,0,0,7
44,602 Deficiencias nutricionales y anemias nutricionales,0,0,0,2,1,4,0,7
35,503 Caídas,0,0,0,3,3,0,0,6
42,513 Eventos de intención no determinada,0,0,2,2,2,0,0,6
31,404 Trastornos respiratorios específicos del período perinatal,6,0,0,0,0,0,0,6
0,"000 Signos, síntomas y afecciones mal definidas",1,0,0,1,1,1,1,5
38,507 Exposición a la corriente eléctrica,0,0,2,1,0,0,0,3
36,505 Ahogamiento y sumersión accidentales,1,0,1,1,0,0,0,3
4,"106 Septicemia, excepto neonatal",1,0,0,0,1,1,0,3
37,506 Accidentes que obstruyen la respiración,0,0,2,0,0,0,0,2
30,"403 Retardo del crecimiento fetal, desnutrición fetal, gestación corta y bajo peso al nacer",2,0,0,0,0,0,0,2
33,406 Resto de ciertas afecciones originadas en el período perinatal,1,0,0,0,0,0,0,1
32,405 Sepsis bacteriana del recién nacido,1,0,0,0,0,0,0,1
29,402 Feto y recién nacido afectados por complicaciones obstétricas y traumatismo del nacimiento,1,0,0,0,0,0,0,1
7,109 Resto de ciertas enfermedades infecciosas y parasitarias,0,0,0,0,1,0,0,1
3,105 Meningitis,0,0,0,0,1,0,0,1
