,DEPARTAMENTO,MUNICIPIO,Total_100 y más,Total Hombres,Total Mujeres,Total,Total_0_4,Total_5_14,Total_15_44,Total_45_64,Total_65_84,Total_85_99
107,ANTIOQUIA,MEDELLIN,1631,1193791,1339633,2533424,148533,311575,1224276,581270,240903,25236
260,ANTIOQUIA,ABEJORRAL,15,10558,9729,20287,1291,3046,8299,4993,2417,226
413,ANTIOQUIA,ABRIAQUI,0,1482,1253,2735,213,427,1156,608,302,29
566,ANTIOQUIA,ALEJANDRIA,0,2338,2360,4698,420,737,1889,1062,525,65
719,ANTIOQUIA,AMAGA,9,15382,15901,31283,2024,4280,14150,7653,2868,299
872,ANTIOQUIA,AMALFI,9,13573,13498,27071,2181,4887,12308,5389,2069,228
1025,ANTIOQUIA,ANDES,27,22904,21295,44199,3157,6527,19693,10114,4285,396
1178,ANTIOQUIA,ANGELOPOLIS,2,2936,2905,5841,402,857,2492,1404,617,67
1331,ANTIOQUIA,ANGOSTURA,2,5830,5706,11536,972,2052,5123,2317,970,100
1484,ANTIOQUIA,ANORI,4,9992,9112,19104,1964,3835,8953,3124,1104,120
1637,ANTIOQUIA,SANTAFE DE ANTIOQUIA,24,13404,13598,27002,1956,4242,12461,5634,2365,320
1790,ANTIOQUIA,ANZA,2,3699,3470,7169,626,1292,3159,1422,578,90
1943,ANTIOQUIA,APARTADO,32,62470,65274,127744,11572,23845,64210,21969,5642,474
2096,ANTIOQUIA,ARBOLETES,8,15278,15232,30510,3262,6478,12705,5582,2238,237
2249,ANTIOQUIA,ARGELIA,1,3886,3659,7545,665,1407,3154,1504,747,67
2402,ANTIOQUIA,ARMENIA,0,2528,2546,5074,324,670,1774,1446,781,79
2555,ANTIOQUIA,BARBOSA,21,26997,27350,54347,3314,7222,24653,13210,5416,511
2708,ANTIOQUIA,BELMIRA,2,3087,3029,6116,491,1132,2747,1249,441,54
2861,ANTIOQUIA,BELLO,199,266213,285941,552154,35416,72435,279293,119773,41298,3740
3014,ANTIOQUIA,BETANIA,4,5340,4944,10284,789,1796,4350,2301,943,101
3167,ANTIOQUIA,BETULIA,5,8126,7770,15896,1379,2923,6959,3295,1223,112
3320,ANTIOQUIA,CIUDAD BOLIVAR,205,13152,13161,26313,1849,4103,11011,6197,2618,330
3473,ANTIOQUIA,BRICEÑO,2,4244,3876,8120,839,1662,3623,1436,504,54
3626,ANTIOQUIA,BURITICA,2,5015,4619,9634,927,1791,4310,1707,790,107
3779,ANTIOQUIA,CACERES,6,15809,14547,30356,3780,6980,12808,4819,1765,198
3932,ANTIOQUIA,CAICEDO,2,4274,4262,8536,810,1585,3861,1566,654,58
4085,ANTIOQUIA,CALDAS,77,39870,43553,83423,4475,9605,39124,21304,8105,733
4238,ANTIOQUIA,CAMPAMENTO,2,4772,4471,9243,813,1877,3997,1731,740,83
4391,ANTIOQUIA,CAÑASGORDAS,14,7839,7713,15552,1241,2651,6433,3336,1660,217
4544,ANTIOQUIA,CARACOLI,0,2286,2246,4532,346,644,1712,1158,604,68
4697,ANTIOQUIA,CARAMANTA,0,2319,2329,4648,277,637,1846,1246,593,49
4850,ANTIOQUIA,CAREPA,16,25450,25693,51143,4967,10386,25722,7796,2078,178
5003,ANTIOQUIA,EL CARMEN DE VIBORAL,12,30904,31677,62581,5045,9570,30111,12735,4730,378
5156,ANTIOQUIA,CAROLINA,0,1959,2013,3972,178,459,1585,1157,528,65
5309,ANTIOQUIA,CAUCASIA,27,46361,49066,95427,9569,18848,44054,16824,5558,547
5462,ANTIOQUIA,CHIGORODO,8,28868,30968,59836,5789,12235,28921,9606,2994,283
5615,ANTIOQUIA,CISNEROS,4,4736,5200,9936,644,1414,4085,2452,1205,132
5768,ANTIOQUIA,COCORNA,2,7293,7540,14833,1334,2464,5900,3283,1661,189
5921,ANTIOQUIA,CONCEPCION,0,2458,2300,4758,337,703,1841,1208,595,74
6074,ANTIOQUIA,CONCORDIA,4,10839,10849,21688,1486,3480,9159,5064,2283,212
6227,ANTIOQUIA,COPACABANA,27,39715,42105,81820,4396,9660,38446,20912,7611,768
6380,ANTIOQUIA,DABEIBA,8,11912,11597,23509,3125,5340,9708,3577,1549,202
6533,ANTIOQUIA,DONMATIAS,20,9203,10506,19709,1482,3123,9070,4250,1586,178
6686,ANTIOQUIA,EBEJICO,2,6171,5963,12134,702,1649,4357,3451,1776,197
6839,ANTIOQUIA,EL BAGRE,10,26679,27167,53846,6280,12157,23931,8551,2668,249
6992,ANTIOQUIA,ENTRERRIOS,4,5857,5871,11728,958,1934,5517,2442,796,77
7145,ANTIOQUIA,ENVIGADO,171,111502,130695,242197,10759,22875,106997,68750,29544,3101
7298,ANTIOQUIA,FREDONIA,6,12442,12312,24754,1375,3265,9720,6835,3210,343
7451,ANTIOQUIA,FRONTINO,6,10353,10347,20700,2406,4170,8388,3860,1687,183
7604,ANTIOQUIA,GIRALDO,2,2943,2807,5750,531,1046,2516,1065,518,72
7757,ANTIOQUIA,GIRARDOTA,21,26687,27752,54439,3316,6955,25394,13372,4843,538
7910,ANTIOQUIA,GOMEZ PLATA,5,4944,4977,9921,616,1451,3930,2544,1214,161
8063,ANTIOQUIA,GRANADA,4,4863,4901,9764,985,1770,3835,2063,990,117
8216,ANTIOQUIA,GUADALUPE,2,3392,3273,6665,503,1108,2973,1422,598,59
8369,ANTIOQUIA,GUARNE,16,28847,29312,58159,3878,7434,26508,13628,6094,601
8522,ANTIOQUIA,GUATAPE,6,4258,4451,8709,597,1185,3805,2075,947,94
8675,ANTIOQUIA,HELICONIA,0,2815,2580,5395,297,709,2102,1515,686,86
8828,ANTIOQUIA,HISPANIA,2,2788,2803,5591,410,826,2360,1265,667,61
8981,ANTIOQUIA,ITAGÜI,156,138138,151856,289994,16207,33056,140574,70429,26960,2612
9134,ANTIOQUIA,ITUANGO,6,16991,10798,27789,2053,4430,13817,5582,1738,163
9287,ANTIOQUIA,JARDIN,9,7381,7449,14830,974,2092,6080,3650,1842,183
9440,ANTIOQUIA,JERICO,4,6806,6900,13706,794,1788,5417,3620,1873,210
9593,ANTIOQUIA,LA CEJA,12,33093,35232,68325,4139,9036,32115,16058,6431,534
9746,ANTIOQUIA,LA ESTRELLA,17,36583,38934,75517,4283,8921,36736,18113,6743,704
9899,ANTIOQUIA,LA PINTADA,2,4260,4200,8460,563,1295,4183,1762,600,55
10052,ANTIOQUIA,LA UNION,6,11053,11338,22391,1605,3445,10382,4963,1812,178
10205,ANTIOQUIA,LIBORINA,2,5189,4901,10090,740,1643,4035,2354,1125,191
10358,ANTIOQUIA,MACEO,2,4103,4145,8248,752,1441,3292,1819,836,106
10511,ANTIOQUIA,MARINILLA,9,33383,34510,67893,5211,10178,32293,14385,5335,482
10664,ANTIOQUIA,MONTEBELLO,2,3371,3270,6641,427,959,2506,1734,928,85
10817,ANTIOQUIA,MURINDO,1,2649,2585,5234,964,1465,2060,559,159,26
10970,ANTIOQUIA,MUTATA,4,7286,7103,14389,1862,3323,6264,2163,692,81
11123,ANTIOQUIA,NARIÑO,2,5083,4864,9947,791,1799,3916,2229,1092,118
11276,ANTIOQUIA,NECOCLI,6,21777,22341,44118,5168,10205,19191,6717,2530,301
11429,ANTIOQUIA,NECHI,9,14098,13256,27354,3340,6250,11649,4347,1592,167
11582,ANTIOQUIA,OLAYA,0,1602,1573,3175,248,512,1213,759,392,51
11735,ANTIOQUIA,PEÑOL,7,10637,11132,21769,1652,3199,9161,5171,2314,265
11888,ANTIOQUIA,PEQUE,2,4374,3911,8285,866,1621,3572,1417,713,94
12041,ANTIOQUIA,PUEBLORRICO,4,4362,4373,8735,636,1423,3477,2097,992,106
12194,ANTIOQUIA,PUERTO BERRIO,6,20385,20328,40713,3090,6491,19024,8576,3228,298
12347,ANTIOQUIA,PUERTO NARE,5,7213,7227,14440,1156,2404,5951,3430,1361,133
12500,ANTIOQUIA,PUERTO TRIUNFO,4,10402,8568,18970,1675,3102,9713,3294,1088,94
12653,ANTIOQUIA,REMEDIOS,9,14811,14818,29629,3140,5909,13697,5140,1556,178
12806,ANTIOQUIA,RETIRO,7,12098,12659,24757,1520,3086,10762,6415,2753,214
12959,ANTIOQUIA,RIONEGRO,62,70107,72888,142995,8445,17637,68522,33494,13657,1178
13112,ANTIOQUIA,SABANALARGA,2,4857,4421,9278,1001,1766,4040,1637,741,91
13265,ANTIOQUIA,SABANETA,33,40948,47033,87981,5024,8755,43684,21666,8166,653
13418,ANTIOQUIA,SALGAR,5,9169,9092,18261,1399,2926,7798,4209,1770,154
13571,ANTIOQUIA,SAN ANDRES DE CUERQUIA,2,3735,3546,7281,734,1400,3116,1406,558,65
13724,ANTIOQUIA,SAN CARLOS,4,8053,7758,15811,1283,2665,6487,3553,1623,196
13877,ANTIOQUIA,SAN FRANCISCO,0,2942,2947,5889,604,1158,2341,1088,635,63
14030,ANTIOQUIA,SAN JERONIMO,4,7885,8132,16017,1138,2418,7136,3702,1447,172
